oper,att_w_US,const_st,wf_rec,coast_rec,first_st,mean_nep,mean_rel,mean_met,mean_inst,mean_mor,gender,age,edu,income,employ,pol,tech_r,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,extract_r_ins,loss_r_inst,clean_inst,decade_r_mor,right_r_mor,comm_rel,wild_rel,iden_rel,kin_rel,health_rel,other_rel,kin_met,resp_met,iden_met,other_met,lat,long,ResponseID,,zip
2,5,3,3,4,2,3.80,3.5,3,3.67,2.5,1,29,5,6,1,3,3,4,4,3,4,4,2,2,5,3,4,4,4,4,3,2,4,4,2,4,2,42.27929688,-71.24500275,R_0dENC7slP3a5Rd3,,6088
2,5,4,3,2,3,4.00,3,3.5,3.33,3.5,1,24,6,6,1,1,2,4,4,5,3,4,3,4,5,4,3,3,3,3,1,3,5,4,4,4,2,43.02859497,-89.51809692,R_0DMHiyIBCc8lqvj,,29420
2,3,1,3,5,2,3.40,3.17,2,3.33,2.5,1,45,5,7,1,1,3,4,4,3,3,3,4,4,4,3,4,4,3,3,3,2,4,2,2,2,2,41.66130066,-70.29879761,R_0DnMj6rXovPR6NT,,4496
1,5,3,3,5,4,3.80,4.5,1.25,4,3,1,22,6,3,1,3,3,5,2,4,3,5,5,4,5,5,5,5,5,5,5,2,5,1,1,2,1,41.67340088,-71.15110016,R_0DNRjAxdsB6W4jX,,29420
1,4,4,3,3,3,4.20,3.67,3,3.67,3,1,38,3,4,1,1,1,4,3,5,4,5,2,2,5,5,5,4,4,4,3,2,5,4,2,4,2,41.46749878,-73.24060059,R_0eVImlwn2BEANIF,,4496
2,5,3,3,2,3,4.80,3.83,2.5,3.33,2.5,2,27,7,7,1,3,2,5,5,5,4,5,3,3,4,3,4,4,4,4,5,2,4,3,2,3,2,42.94030762,-71.4434967,R_0fEAnZ0L0SnIgdv,,4084
2,4,3,3,5,3,3.60,2.83,2.5,3.33,3,1,25,6,4,1,1,2,4,4,4,2,4,3,4,5,4,4,3,2,3,2,3,4,4,2,2,2,42.38279724,-71.09549713,R_0HbxWvLhImRT7IV,,2474
2,5,4,3,5,4,5.00,4.33,1,5,3,1,40,7,6,1,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,1,1,1,1,41.80799866,-72.25099945,R_0HTlmcKe5FrddvT,,3467
2,5,4,4,2,5,3.80,4,1.5,3.5,4,2,20,4,4,1,1,1,4,3,4,4,4,2,,5,4,2,4,4,4,4,4,4,1,1,3,1,41.9980011,-71.49410248,R_0HzpeHxYFAbzwqN,,2138
2,5,4,3,4,3,3.40,3.67,2,4,2.5,1,27,3,4,1,3,3,4,2,3,4,4,3,2,5,3,4,4,4,4,4,2,4,2,2,2,2,42.2848053,-71.07409668,R_0iHp12NIO4D2gMl,,1075
2,4,4,3,3,4,4.40,3.67,2,3.67,3.5,1,20,6,11,5,2,2,5,4,4,4,5,3,3,5,5,4,4,4,4,4,2,4,2,2,3,1,41.9691925,-72.01470184,R_0iY9dELpvzn4Kih,,6040
1,5,4,3,3,4,4.80,3.17,2.75,3.33,3,1,28,3,6,2,1,3,5,4,5,5,5,4,5,5,5,5,2,3,3,4,2,5,4,1,5,1,43.30290222,-71.04599762,R_0j3xYhj7RdPLFwp,,1581
2,4,3,3,4,4,4.00,3.33,2.5,3,2.5,1,28,6,7,3,3,2,4,4,4,5,3,2,4,5,4,5,5,3,3,3,1,5,3,2,4,1,42.48970032,-71.15950012,R_0jo1GHSPQ9TFfY9,,1826
1,5,4,3,3,4,4.40,4,1.75,3.67,3,1,34,4,1,3,1,2,4,5,5,4,4,4,4,5,5,5,5,4,4,4,2,5,2,1,2,2,42.19549561,-71.84629822,R_0k7FkHKRojtTMup,,6078
1,5,4,3,3,5,4.20,4.33,2,2.67,3,1,26,4,3,1,5,3,5,4,4,4,4,2,5,5,5,5,4,5,5,5,2,5,3,1,3,1,41.48779297,-73.06269836,R_0lK5HskKZ1QhchL,,2857
1,3,3,3,1,3,3.00,3.33,3,3.33,3,1,66,5,4,6,5,2,3,3,3,3,3,3,3,4,3,3,4,2,3,4,4,3,3,3,4,2,44.65899658,-68.91999817,R_0Mp0vazEMGmusrH,,5301
2,4,4,3,5,3,5.00,4,1.75,3.5,3,1,25,6,8,1,1,3,5,5,5,5,5,2,,5,5,5,4,4,4,5,2,5,2,2,2,1,40.41690063,-74.25789642,R_0N8eYana0RLX9UF,,2720
1,5,4,3,2,3,3.60,2.83,3,3.67,3,1,51,6,3,1,3,3,4,3,4,3,4,3,3,5,4,4,3,2,3,3,2,4,4,3,4,1,35.186203,-80.74790192,R_0NeD22cad3dbpvn,,3873
1,5,4,2,4,5,4.40,4.17,2,3.33,3,2,19,7,6,1,1,2,5,5,5,2,5,3,4,5,4,4,5,5,4,4,2,5,1,1,4,2,41.37809753,-73.46910095,R_0NiiDA0LUqBKurP,,1752
2,4,3,3,4,4,4.20,3.67,1.75,3.33,2.5,2,28,6,2,5,3,3,4,4,4,5,4,2,3,5,3,4,4,4,4,3,2,5,3,1,2,1,42.96609497,-70.98809814,R_0NRtMV8VBYoLZpb,,1339
2,5,4,3,4,3,4.40,4,1.75,3.33,3,2,44,7,8,1,1,4,4,4,5,4,5,4,5,5,4,4,4,5,4,4,2,5,2,1,3,1,42.38000488,-71.13289642,R_0oGsLWMorV4Bk1f,,2467
2,5,4,3,4,3,4.80,3.67,2,3.67,3,1,38,6,8,1,1,2,5,5,5,5,4,4,4,5,4,4,4,4,4,4,2,4,2,2,2,2,41.76939392,-71.46759796,R_0oWwXewYpbwgTNX,,1824
2,4,4,2,2,4,4.20,3.67,2,2.67,3,1,62,7,6,1,1,3,4,4,4,5,4,2,4,4,4,4,4,4,4,4,2,4,2,2,3,1,42.2848053,-71.07409668,R_0p6vxKxaLOM0Vox,,2171
2,5,4,3,2,3,4.20,3.33,3.5,4,2.5,1,28,6,6,5,1,2,4,4,5,5,3,4,3,5,3,4,3,4,2,3,4,4,3,3,5,3,41.418396,-72.90730286,R_0PwlUujFg5mZFGJ,,6776
1,4,3,2,5,3,4.80,4.67,1,3.33,3,1,28,7,4,1,1,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,3,5,1,1,1,1,41.36169434,-71.80239868,R_0qvNtw9fFcThH25,,1527
1,5,4,3,2,3,4.40,4,2.25,3.33,2.5,2,26,6,10,1,1,3,5,4,4,5,4,3,4,5,4,5,4,4,5,4,2,5,3,1,4,1,42.39309692,-71.1344986,R_0TmUsFFK76t4dCZ,,1534
2,5,4,3,2,3,5.00,4.83,1,3.33,3,1,63,7,8,1,1,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,1,1,1,1,41.59890747,-72.9776001,R_0uiEagDZ8utTBJ3,,3301
2,5,4,5,2,5,3.00,4.17,1,3.67,3.5,2,35,3,1,1,3,1,3,2,3,3,4,2,2,5,3,2,4,4,5,4,4,4,1,1,1,1,41.68159485,-72.94049835,R_0vbLkr44iCanyK1,,1603
1,4,1,3,2,4,3.60,3.17,2.75,3.33,2,1,33,6,11,1,2,4,4,4,2,4,4,3,3,4,2,4,4,2,3,4,4,2,4,2,2,3,19.98330688,73.80000305,R_0vPMCZv5m2HGGiN,,77046
2,4,4,3,3,3,3.80,3.6,3,3,4,1,22,4,2,5,5,3,4,4,4,3,4,3,4,4,4,,4,4,4,,2,4,3,3,4,2,42.18179321,-71.19619751,R_0Vuxzafv7zVAfIx,,4330
2,4,4,3,2,2,3.20,3.5,3.5,3,3,2,33,7,6,1,2,1,3,4,3,4,2,2,4,5,4,4,4,3,4,4,2,4,5,3,4,2,41.68559265,-72.73120117,R_0VwcmZkYWSpWUAZ,,6042
1,4,4,4,4,3,3.80,4,1.5,3.33,3.5,1,33,6,8,4,3,4,4,4,4,4,3,3,4,5,5,4,4,4,5,5,2,4,1,1,3,1,41.46730042,-73.38829803,R_0wSgxCUGcd1bXKJ,,4981
2,5,4,3,3,3,4.60,3.33,4,3.67,2.5,1,45,6,6,1,3,4,5,5,5,3,5,4,4,5,4,5,4,3,4,3,2,4,5,3,5,3,41.91130066,-71.12999725,R_1CebzxO1cVRmZql,,2108
2,5,4,3,4,4,4.00,3.83,2.25,3,3,1,37,7,6,1,5,2,5,4,4,4,3,2,4,5,4,4,4,4,4,5,2,4,2,2,3,2,42.34509277,-71.09929657,R_1FiDWtIbMBT6AzH,,2703
2,5,4,3,3,3,4.40,2.83,3.75,3,2.5,2,28,6,5,1,3,4,5,4,5,4,4,2,4,5,3,4,4,2,2,2,3,4,5,3,5,2,42.33659363,-71.07260132,R_1FzXdFvpLcrq56J,,53719
2,5,3,2,3,4,3.60,3.83,1,2.67,3,2,61,6,6,6,3,3,5,1,4,5,3,2,5,5,5,5,4,3,5,5,1,5,1,1,1,1,43.8500061,18.38330078,R_1GDT2JHtbi6pfet,,2895
1,4,3,3,2,3,3.20,2.67,3,3.33,3,2,27,3,5,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,2,2,3,3,3,3,3,43.19979858,-71.69539642,R_1MlDClqRa9h7g5D,,6779
2,5,3,2,3,2,3.00,3.67,2,3,3,2,25,6,11,1,3,2,4,2,3,3,3,2,2,3,2,2,4,3,3,4,4,4,2,2,1,3,41.37809753,-73.46910095,R_1NRgzUxHONK9Jtz,,6716
2,5,3,3,3,3,3.80,2.83,3.75,3,3,2,21,4,6,1,1,3,4,4,3,4,4,3,4,4,3,3,3,3,2,3,3,3,4,4,4,3,38.6499939,-90.53340149,R_1OhvFkVJPErdUc5,,6010
2,4,3,3,3,3,2.60,3,3.25,2.67,3,1,39,4,10,4,5,3,4,3,2,2,2,2,5,5,4,4,3,2,3,4,2,4,5,1,5,2,42.4427948,-71.23169708,R_1RgdZ3Vv2lNWZYV,,1201
2,5,4,3,3,5,5.00,4.5,2,3,3,1,56,4,4,6,1,3,5,5,5,5,5,3,5,5,5,5,4,5,5,5,3,5,2,1,2,3,42.50480652,-71.19560242,R_1Sb0LO16Jx5TcCV,,3858
2,5,4,3,2,3,4.20,3.17,2.75,3.33,2.5,2,33,5,5,1,5,3,5,4,4,4,4,2,3,5,4,5,3,3,4,3,2,4,3,3,3,2,42.62710571,-73.11869812,R_1UmdGA1GogGWe5n,,1720
2,4,3,2,2,4,3.80,3.17,3,3.33,3,2,19,3,6,5,1,2,4,4,3,4,4,2,3,5,3,3,3,2,3,4,2,5,3,3,5,1,42.37219238,-71.17870331,R_1XkWisNy2AsUpZH,,6066
2,5,4,1,5,2,2.80,3,3,4.33,2.5,2,30,6,9,1,1,2,4,1,3,4,2,4,2,5,2,3,2,4,3,5,2,2,4,2,4,2,41.70080566,-71.39219666,R_1XqfUEl4ZyIabvT,,2141
1,5,4,3,3,5,5.00,4.5,1.25,3.67,3,1,24,6,6,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,1,2,1,41.4651947,-72.18859863,R_1YowFFJnbj4Cn09,,1862
2,5,4,3,5,3,3.40,4.17,2.25,2.67,3,1,49,4,6,1,2,4,4,4,4,3,2,2,5,5,4,4,5,4,5,5,1,5,3,2,2,2,41.48510742,-71.30750275,R_244JNf9FXQ3l1Fr,,2832
2,4,4,3,2,3,3.80,3.33,3.25,3.67,3,1,23,5,5,5,2,3,4,4,4,3,4,4,3,4,4,4,4,2,3,4,3,4,4,2,5,2,41.65769958,-72.66269684,R_244Quh8Fc3tsb0p,,1027
2,5,4,3,2,3,4.80,3.67,2,2.67,3,2,20,4,1,5,3,5,5,5,5,4,5,2,5,5,5,5,4,4,5,4,1,4,3,1,3,1,42.90840149,-71.06109619,R_24SCiMOX1WrmTwV,,1852
2,4,4,3,2,3,3.80,4,1.75,3.33,2.5,2,19,4,11,5,3,2,4,3,5,3,4,3,4,5,3,4,3,4,4,4,4,5,2,1,1,3,42.12440491,-71.66529846,R_25g5cHZf8qidvg1,,2806
2,5,4,3,4,4,4.00,3.67,3.25,3.67,3,2,30,6,8,1,3,2,5,3,4,5,3,2,2,5,3,3,4,4,4,3,2,5,4,3,4,2,41.17370605,-73.1364975,R_25g7WY80OPq9fHT,,1440
2,4,4,3,4,3,3.20,3.33,2,3,3.5,1,29,6,5,5,5,4,3,4,3,3,3,3,4,4,4,3,4,4,3,3,2,4,2,2,2,2,26.24180603,-80.16449738,R_25JOudIl1Bb2gOV,,1440
2,5,4,3,3,4,4.20,3,3,2.67,3,1,22,6,7,5,1,3,5,4,4,4,4,3,5,4,5,5,4,4,2,3,1,4,5,1,3,3,44.86349487,-68.84020233,R_261uEZqFeKUH3AF,,1585
2,5,4,3,2,3,4.40,4.17,1.5,3.67,2.5,1,21,4,2,3,3,3,5,5,4,4,4,4,4,5,4,5,4,5,5,5,1,5,1,1,3,1,40.97079468,-80.3010025,R_2ajvFuQFZExQl3n,,4901
2,5,4,3,3,4,4.20,4,2.5,3.67,3.5,1,26,6,5,1,1,3,4,4,5,4,4,3,3,5,4,3,5,4,4,4,3,4,2,3,3,2,42.38000488,-71.13289642,R_2b1hdLIwKkoNip7,,6119
2,5,4,3,2,3,4.40,3,3.25,3.33,3,1,38,7,9,1,3,4,5,5,4,4,4,3,4,5,5,5,4,2,3,4,1,4,4,3,4,2,41.83650208,-72.46320343,R_2co2HL7fSkRYHYN,,6712
2,5,4,3,4,4,4.40,3.83,3.25,4,3,2,31,6,5,1,3,1,4,4,4,5,5,2,1,5,2,2,5,3,4,4,2,5,3,2,4,4,41.80799866,-72.25099945,R_2f4bEgPRKzRiTNX,,6790
1,5,4,3,2,3,3.60,3.17,4,3.33,3,2,35,6,6,1,3,5,4,3,4,4,3,3,3,4,2,2,4,3,3,3,2,4,4,4,5,3,41.28329468,-72.86530304,R_2gIhRA96q3HNnzT,,2914
1,3,4,3,2,5,3.20,3.5,3.75,3.33,2.5,1,36,4,6,4,3,1,4,3,2,4,3,2,2,4,2,3,4,4,2,3,4,4,3,4,5,3,43.14909363,-71.25640106,R_2gZzrWHmgbqM0LP,,1089
2,5,4,3,4,3,2.80,3.33,3.75,2.67,3,1,28,6,7,1,1,2,4,2,2,4,2,2,4,4,3,3,5,3,3,2,5,2,3,2,5,5,27.71670532,85.31671143,R_2iqXzNJaW9GXSdL,,6469
2,5,4,3,3,5,4.60,3.83,1.5,2.67,3,2,26,5,5,1,3,2,5,4,5,4,5,2,5,5,5,5,4,4,4,5,1,5,2,1,2,1,43.23449707,-71.52269745,R_2mcTLMyd4nfnWPX,,4740
2,5,4,3,4,4,3.80,3.33,2,2.67,3,1,19,4,5,1,5,2,4,4,3,4,4,3,5,4,5,5,4,3,4,4,1,4,2,1,3,2,40.65010071,-73.94960022,R_2nuErdw9OW7GWiN,,1585
2,5,4,3,3,3,4.60,3.5,3.25,4.33,3,1,44,5,3,1,3,3,5,4,5,5,4,3,1,5,5,5,3,4,4,3,2,5,4,3,5,1,42.32209778,-71.13339996,R_2t3UDaqQVWHDjvf,,4740
2,5,4,2,3,3,4.40,3.67,2,3,2.5,1,29,6,8,1,3,2,5,4,4,5,4,2,4,5,4,5,5,4,4,4,1,4,2,2,2,2,41.70080566,-71.39219666,R_2tMHEQd2vOXpeQt,,6512
2,5,4,3,5,3,4.60,3.67,3,3.33,3,1,39,4,1,3,5,2,4,4,5,5,5,4,5,5,5,5,4,4,4,4,1,5,4,2,5,1,42.24290466,-71.00980377,R_2tpYgwkvkSFK45L,,4093
1,5,4,3,1,4,4.00,4,3,4,3,1,28,4,4,1,3,3,4,3,4,4,5,4,3,5,4,4,5,4,3,4,4,4,4,2,4,2,42.22380066,-72.64089966,R_2tWfXopTD51sAkt,,3446
2,5,4,3,5,3,4.20,4,2.25,3,2.5,1,38,4,6,2,1,3,4,4,4,4,5,2,4,5,3,4,4,4,4,4,4,4,2,2,3,2,42.68249512,-70.84700012,R_2udElqUm8L6HSGF,,3452
2,4,4,3,5,3,3.60,3.17,2.75,3.33,3,1,45,3,4,4,3,2,4,3,3,4,4,2,3,5,3,3,4,3,3,3,2,4,3,3,3,2,41.87339783,-70.63939667,R_2uhPW86zEamu8ap,,8816
2,5,4,3,4,3,4.20,3,3.5,2.67,2.5,1,19,4,7,5,1,2,5,4,4,4,4,2,5,5,4,5,3,2,3,4,1,5,5,3,5,1,41.60769653,-71.06759644,R_37CtGcT1HWsBqGF,,3258
2,4,4,3,2,3,4.60,3.83,2.5,3.33,3.5,1,18,3,7,5,3,2,5,4,4,5,5,2,3,5,4,3,5,4,4,3,2,5,2,3,4,1,41.83790588,-71.39320374,R_38BQM8ojvtQfXVP,,4357
1,5,3,3,2,4,4.20,3.17,3,2.33,3.5,1,20,4,7,5,1,4,4,5,4,4,4,2,5,4,5,4,4,2,2,5,2,4,3,3,5,1,41.55140686,-73.06520081,R_3BHxg7xEcXZrZMF,,4427
2,5,4,4,3,4,2.60,3.67,2.75,3,3,1,18,4,2,1,3,3,3,3,2,3,2,3,4,4,3,3,4,4,4,2,4,4,2,3,3,3,46.11540222,-67.91699982,R_3BPG1iRB2SAYv53,,1460
2,5,4,3,5,2,3.20,3.5,2.25,3.33,3,2,31,5,7,1,3,2,4,3,2,4,3,2,3,5,3,3,4,4,3,4,2,4,3,2,2,2,30.12939453,-81.77749634,R_3Dw9IrzI1itpybr,,6450
2,4,3,3,4,4,4.20,3.67,2.75,3.33,3,1,29,7,6,2,3,2,4,4,4,5,4,3,4,5,5,5,4,3,4,4,2,5,3,3,3,2,42.29910278,-72.27570343,R_3dybDH3gB3W6grX,,2466
1,4,4,3,2,2,3.80,3.5,2.25,2.67,2.5,2,27,6,5,1,1,2,5,4,2,5,3,1,4,5,4,5,3,4,5,3,5,1,1,2,3,3,27.71670532,85.31671143,R_3eHmgQHFnS4STL7,,2816
2,5,4,3,5,5,5.00,4.4,1.5,2.67,3,1,30,7,10,1,1,1,5,5,5,5,5,2,5,5,5,5,5,4,4,5,,4,2,1,2,1,42.15559387,-71.42680359,R_3elaznfMNeSVX1j,,3110
2,5,4,3,2,3,5.00,3.33,3.5,2.33,3,1,26,6,5,1,1,2,5,5,5,5,5,2,4,3,4,4,4,3,2,3,3,5,4,4,5,1,42.36459351,-71.10279846,R_3IqlfNx2hfYxxnD,,60602
2,5,4,5,5,5,4.20,3.83,1.5,3.67,3,1,41,6,11,2,3,2,5,4,4,4,4,4,4,5,4,4,4,4,4,4,2,5,2,1,2,1,42.43930054,-71.77690125,R_3jIaGS3rqT5KQ29,,28212
2,5,4,4,4,5,4.80,4,1.5,3,3.5,2,34,7,6,1,1,2,4,5,5,5,5,3,5,5,5,4,4,5,4,4,2,5,2,1,2,1,41.69700623,-71.52539825,R_3JiBpZ5qfHDbJtz,,2144
2,4,3,3,4,2,3.40,3.83,3,3.67,2.5,1,21,6,7,5,1,3,4,3,3,4,3,3,2,4,2,3,5,3,3,4,4,4,3,3,3,3,41.83650208,-72.46320343,R_3K3bcpvjXtCH32B,,6850
2,2,3,3,1,3,2.00,2.5,5,3.33,3,2,44,6,7,1,3,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,3,5,5,5,5,32.93260193,-79.97979736,R_3K4YYu69VKmc01n,,4330
2,5,4,5,5,5,5.00,4.33,1,3.33,3,1,28,4,5,3,3,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,1,1,1,1,42.56530762,-70.85780334,R_3kM8DIimavIwNhj,,6037
2,5,,2,5,4,4.00,3.67,1,2.67,3,2,65,6,5,6,1,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,1,1,1,1,41.78999329,-72.87349701,R_3krtH3eq05A5Mpf,,6896
2,5,4,3,4,3,4.40,4,1.25,3,3,1,33,6,7,1,3,2,5,4,5,4,4,3,5,5,5,5,4,4,4,5,2,5,1,1,2,1,42.17329407,-72.77149963,R_3LfDMnA3qEuedUx,,4106
1,5,4,4,2,5,4.80,3.33,3.25,3.33,3.5,2,28,4,3,1,1,3,5,4,5,5,5,2,3,5,2,1,3,3,4,3,2,5,4,3,4,2,44.40510559,-69.75669861,R_3mAA8qe7emsvCbb,,6010
2,5,4,3,4,5,4.20,3.83,2.75,3.33,3,2,20,4,1,1,1,1,5,4,5,3,4,2,3,5,5,5,4,4,4,4,2,5,4,2,4,1,41.63540649,-70.9434967,R_3mGJtMvjXL4RzEx,,2093
2,5,3,3,3,4,4.80,4.17,2,3.67,3,2,60,7,8,1,3,2,5,5,5,4,5,4,4,5,5,5,4,4,5,5,2,5,2,1,3,2,42.53349304,-71.10359955,R_3mkdqQYUUok7oEZ,,1886
2,5,4,3,4,3,3.80,3.67,3,3.33,3.5,1,22,6,1,5,3,3,3,5,4,4,3,3,4,5,4,3,3,4,4,4,2,5,3,3,4,2,42.76179504,-71.41190338,R_3mxEEvGPnogvQKp,,3782
2,5,4,3,3,3,5.00,3.83,2.5,3.33,3,2,27,4,3,5,1,4,5,5,5,5,5,4,5,5,5,5,5,3,4,4,2,5,3,1,4,2,42.0953064,-72.32450104,R_3n6wJgesn7ivrbT,,6107
2,5,3,3,4,5,4.60,4,1.75,3.33,3,1,21,6,2,1,3,2,4,5,5,5,4,4,5,5,5,5,5,5,4,4,1,5,1,1,3,2,43.71499634,-70.34519958,R_3OavzhNiGtTJt89,,1060
2,4,4,3,4,4,3.40,3.33,3.5,2.67,3,1,22,6,1,3,5,2,3,4,3,4,3,2,4,4,4,4,4,4,3,3,2,4,4,2,4,4,41.34519958,-72.1088028,R_3pDAcn1zkHA76NT,,2472
1,4,4,3,2,3,4.00,4.17,1.75,3.67,2.5,1,42,5,1,6,3,4,4,4,4,4,4,4,4,5,3,4,4,4,5,5,2,5,1,1,3,2,44.40510559,-69.75669861,R_3qvo4fVxSy5Fk0Z,,2920
1,5,4,3,1,5,4.40,3.5,1.75,3,3,2,20,4,4,1,3,2,5,4,4,4,5,2,4,5,4,4,4,3,4,4,2,4,2,2,2,1,42.12510681,-72.74949646,R_3r4vrsx373Jhgkl,,2171
2,5,4,3,5,3,3.80,2.83,3.5,4,2.5,1,32,7,8,3,1,3,3,5,5,3,3,5,4,5,4,5,2,2,3,3,3,4,3,2,5,4,42.33459473,-71.03620148,R_3RfTbBauwzdBfV3,,3431
2,4,,3,2,4,4.40,3.33,2.25,2.67,2.5,1,29,6,5,1,1,3,5,4,5,4,4,3,5,4,3,4,4,3,3,3,3,4,2,2,3,2,33.41479492,-111.9093018,R_3siZnTX4069v11X,,28211
2,5,4,3,4,4,4.40,3.83,1.5,3.67,3,2,22,6,5,1,2,2,5,4,4,5,4,4,4,5,5,5,4,4,4,4,2,5,1,2,2,1,41.58770752,-71.46230316,R_3sLyrCKhUEA5iPr,,2120
2,5,4,3,3,4,4.00,4.17,1.5,3,2.5,2,27,3,1,3,1,3,4,4,4,4,4,3,5,5,4,5,4,4,5,5,3,4,1,2,2,1,37.63920593,-120.9736023,R_3t9tMyEF2YZanwV,,1921
1,5,4,3,2,4,4.00,4.33,1,4,3.5,1,22,4,6,1,3,1,5,1,4,5,5,3,2,5,5,4,4,5,5,5,2,5,1,1,1,1,41.65719604,-72.80349731,R_3UfFSPCQ8s6ZIMd,,1245
1,2,1,2,3,1,5.00,4.33,1.5,2.67,3,1,58,4,4,1,5,3,5,5,5,5,5,3,5,4,5,5,5,5,5,5,1,5,1,1,1,3,43.23449707,-71.52269745,R_3UiZ3C6VnxZkuDr,,3079
1,4,4,3,2,3,3.40,2.83,3.75,2.67,3.5,1,32,7,8,1,5,3,4,3,3,4,3,2,4,4,4,3,3,2,2,2,4,4,4,3,5,3,41.7769928,-72.52359772,R_3UTnT50f1jWpaF7,,1923
2,4,4,3,3,2,4.00,3.83,3,3,3.5,1,24,5,4,1,1,2,5,4,5,2,4,3,4,4,5,4,4,4,4,4,3,4,3,3,4,2,44.22529602,-69.09230042,R_3vEn2mZxaExQxCJ,,3857
2,5,4,3,3,1,4.00,3.4,3.25,2.33,3,2,27,6,7,5,3,2,4,4,4,4,4,1,5,5,4,4,5,2,4,,2,4,4,3,4,2,42.21670532,-83.74060059,R_3vIN0Gt4GOykklL,,2703
1,4,4,3,2,3,4.20,4.17,1.25,3.33,2.5,2,28,6,2,1,2,4,5,4,3,5,4,3,4,5,4,5,4,4,5,4,3,5,1,1,2,1,44.39599609,-69.42440033,R_3ViniLdqtYkUM1n,,2215
2,4,3,3,3,4,4.00,3.67,3.25,3.33,3.5,1,23,6,4,1,1,3,4,5,4,3,4,3,4,5,5,4,5,4,3,3,3,4,4,3,4,2,42.2736969,-71.08999634,R_3Vjsp8uIcWjkMlL,,6854
2,5,4,3,2,4,5.00,3,3,2.67,3,2,34,6,2,3,3,3,5,5,5,5,5,2,5,5,5,5,4,3,2,3,1,5,4,2,5,1,42.54930115,-71.25579834,R_3VLGT3hUBDetMtT,,3229
2,5,4,3,5,4,3.00,3.83,3.25,3.67,3,2,34,6,7,1,3,2,5,2,4,2,2,2,2,5,4,4,4,4,3,4,4,4,4,3,4,2,41.76939392,-71.46759796,R_3VnUbFlpfJ3Cl5H,,4401
